id,num_of_labels
Biology_194_r,3
Biology_54_r,3
Biology_194_p,3
Biology_236_p,3
Biology_tweet_58_p,3
Biology_tweet_228_p,3
Biology_236_r,3
Biology_tweet_228_r,3
Biology_tweet_58_r,3
Biology_tweet_30_p,3
Biology_tweet_30_r,3
Biology_54_p,3
Biology_33_r,3
Biology_33_p,3
Biology_253_p,3
Biology_tweet_197_r,3
Biology_100_r,3
Biology_tweet_158_r,3
Biology_100_p,3
Biology_tweet_158_p,3
Biology_tweet_48_r,3
Biology_tweet_197_p,3
Biology_253_r,3
Biology_tweet_48_p,3
Biology_tweet_125_r,3
Biology_tweet_144_p,3
Biology_402_p,3
Biology_tweet_5_r,3
Biology_tweet_125_p,3
Biology_402_r,3
Biology_tweet_150_p,3
Biology_tweet_144_r,3
Biology_tweet_5_p,3
Biology_tweet_13_r,3
Biology_tweet_13_p,3
Biology_tweet_150_r,3
Biology_213_p,3
Biology_tweet_82_p,3
Biology_tweet_170_r,3
Biology_213_r,3
Biology_tweet_82_r,3
Biology_55_p,3
Biology_tweet_173_r,3
Biology_tweet_227_r,3
Biology_77_r,3
Biology_tweet_173_p,3
Biology_55_r,3
Biology_tweet_227_p,3
Biology_108_r,3
Biology_77_p,3
Biology_230_p,3
Biology_230_r,3
Biology_108_p,3
Biology_8_p,3
Biology_352_r,3
Biology_tweet_116_p,3
Biology_tweet_34_r,3
Biology_118_r,3
Biology_tweet_34_p,3
Biology_352_p,3
Biology_8_r,3
Biology_118_p,3
Biology_493_p,3
Biology_tweet_116_r,3
Biology_493_r,3
Biology_504_r,3
Biology_168_p,3
Biology_179_p,3
Biology_504_p,3
Biology_466_p,3
Biology_tweet_169_p,3
Biology_tweet_29_p,3
Biology_466_r,3
Biology_179_r,3
Biology_168_r,3
Biology_tweet_29_r,3
Biology_tweet_169_r,3
Biology_403_p,3
Biology_310_r,3
Biology_tweet_0_p,3
Biology_40_p,3
Biology_tweet_88_p,3
Biology_40_r,3
Biology_tweet_0_r,3
Biology_tweet_88_r,3
Biology_tweet_9_r,3
Biology_310_p,3
Biology_tweet_9_p,3
Biology_403_r,3
Biology_382_p,3
Biology_496_r,3
Biology_238_r,3
Biology_496_p,3
Biology_238_p,3
Biology_tweet_21_r,3
Biology_457_p,3
Biology_20_p,3
Biology_20_r,3
Biology_457_r,3
Biology_tweet_53_r,3
Biology_tweet_21_p,3
Biology_tweet_53_p,3
Biology_tweet_129_r,3
Biology_tweet_3_r,3
Biology_433_p,3
Biology_122_r,3
Biology_122_p,3
Biology_tweet_129_p,3
Biology_tweet_3_p,3
Biology_164_p,3
Biology_164_r,3
Biology_433_r,3
Biology_175_p,3
Biology_175_r,3
Biology_tweet_290_r,3
Biology_160_p,3
Biology_tweet_68_p,3
Biology_304_p,3
Biology_160_r,3
Biology_76_r,3
Biology_tweet_68_r,3
Biology_tweet_213_p,3
Biology_tweet_213_r,3
Biology_304_r,3
Biology_tweet_290_p,3
Biology_76_p,3
Biology_tweet_24_p,3
Biology_192_r,3
Biology_411_r,3
Biology_tweet_181_p,3
Biology_415_r,3
Biology_tweet_285_p,3
Biology_192_p,3
Biology_tweet_181_r,3
Biology_tweet_24_r,3
Biology_415_p,3
Biology_411_p,3
Biology_tweet_285_r,3
Biology_tweet_25_p,3
Biology_tweet_6_r,3
Biology_146_r,3
Biology_239_r,3
Biology_153_p,3
Biology_tweet_6_p,3
Biology_104_p,3
Biology_239_p,3
Biology_153_r,3
Biology_tweet_25_r,3
Biology_104_r,3
Biology_146_p,3
Biology_tweet_33_p,3
Biology_426_p,3
Biology_529_r,3
Biology_111_r,3
Biology_tweet_12_p,3
Biology_426_r,3
Biology_tweet_12_r,3
Biology_tweet_33_r,3
Biology_56_r,3
Biology_529_p,3
Biology_56_p,3
Biology_417_p,3
Biology_71_r,3
Biology_tweet_77_p,3
Biology_tweet_15_p,3
Biology_422_p,3
Biology_222_p,3
Biology_222_r,3
Biology_tweet_77_r,3
Biology_71_p,3
Biology_tweet_15_r,3
Biology_417_r,3
Biology_422_r,3
Biology_407_r,3
Biology_tweet_139_p,3
Biology_233_p,3
Biology_319_r,3
Biology_319_p,3
Biology_tweet_139_r,3
Biology_tweet_20_p,3
Biology_tweet_14_r,3
Biology_233_r,3
Biology_tweet_14_p,3
Biology_tweet_20_r,3
